TYPE;START;END;GUID1;GUID2;PROFILE1;PROFILE2
Horizontal;{79064.15296, 83059.684934, 49889.995737};{87033.389564, 82484.353454, 49889.995737};77bd0880-666d-405b-8195-d742971960f1;8537d53c-cc23-44d8-817d-60ec728495f9;2270*400;2210*400
Horizontal;{79064.15296, 83059.684934, 47599.995737};{87033.389564, 82484.353454, 47599.995737};77bd0880-666d-405b-8195-d742971960f1;9ea44ebc-d1f4-491a-84aa-39bb61879631;2270*400;2270*400
Corner;{80510.182724, 78860.355446, 33690.045337};{80510.182724, 78860.355446, 38869.994246};a352e00b-96de-4094-b8fe-dbc9879cc989;ba67bf28-2d85-440f-8f38-1bd8a2c0a71e;5179.95*300;5179.95*300
Corner;{83103.459493, 78673.139415, 33690.045337};{83103.459493, 78673.139415, 38869.995654};a868e5bf-7bc7-4231-907d-64fb39f2789d;ba67bf28-2d85-440f-8f38-1bd8a2c0a71e;5179.96*300;5179.95*300
Horizontal;{79064.15296, 83059.684934, 45309.995737};{87033.389564, 82484.353454, 45309.995737};9ea44ebc-d1f4-491a-84aa-39bb61879631;fb640205-432a-492c-b75b-18b0878db28f;2270*400;2120*400
Horizontal;{79064.15296, 83059.684934, 43169.995737};{87033.389564, 82484.353454, 43169.995737};cfa13026-2302-4001-893a-c1aa7ce87b02;fb640205-432a-492c-b75b-18b0878db28f;2125*400;2120*400
Horizontal;{79064.152952, 83059.684878, 41024.995737};{87033.389591, 82484.353508, 41024.995737};0d48bd85-7e6e-4226-bdea-4482bebe4a13;cfa13026-2302-4001-893a-c1aa7ce87b02;2125*400;2125*400
Side;{86940.664137, 81005.583715, 38667.49};{78941.837566, 81583.046892, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;f30f5d75-d1e6-4b86-b721-41335e14abde;UPB265(265X1200);UPB265(265X1200)
Beam at side of HCS 2;{78981.685769, 81580.163387, 38667.49};{79043.704476, 82440.563724, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;b132265b-04ed-42df-8b87-d4758be6aeef;UPB265(265X1200);480*740
Beam at side of HCS 2;{86900.769147, 81008.463711, 38667.49};{86962.875344, 81868.770317, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;c141a303-ade0-4156-a63a-a632bb09cc26;UPB265(265X1200);480*740
Side;{86866.329223, 79975.883369, 38667.49};{78867.499922, 80553.346743, 38667.49};09ce00ed-4d50-4b14-abee-97f497c83bb4;f30f5d75-d1e6-4b86-b721-41335e14abde;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{78819.711557, 79333.310826, 38667.49};{78906.11886, 80530.195858, 38667.49};09ce00ed-4d50-4b14-abee-97f497c83bb4;b132265b-04ed-42df-8b87-d4758be6aeef;UPB265(265X1200);480*740
Side;{86778.462801, 78758.740537, 38667.49};{83328.14139, 79007.831849, 38667.49};074ea181-0622-400d-834e-fcef992f879a;09ce00ed-4d50-4b14-abee-97f497c83bb4;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{86738.565007, 78761.621188, 38667.49};{86824.97231, 79958.506219, 38667.49};09ce00ed-4d50-4b14-abee-97f497c83bb4;c141a303-ade0-4156-a63a-a632bb09cc26;UPB265(265X1200);480*740
Full width support 1;{78908.871407, 80570.101228, 38667.49};{78981.791251, 81580.162496, 38667.49};f30f5d75-d1e6-4b86-b721-41335e14abde;b132265b-04ed-42df-8b87-d4758be6aeef;UPB265(265X1200);480*740
Full width support 1;{86827.849463, 79998.402594, 38667.49};{86900.769308, 81008.463862, 38667.49};f30f5d75-d1e6-4b86-b721-41335e14abde;c141a303-ade0-4156-a63a-a632bb09cc26;UPB265(265X1200);480*740
Corner;{80191.222092, 74441.860828, 33690.045337};{80191.222092, 74441.860828, 38869.994246};4042ecc6-b140-456b-8d67-107943dbf117;a352e00b-96de-4094-b8fe-dbc9879cc989;5179.95*300;5179.95*300
Corner;{82784.463392, 74254.636866, 33690.045337};{82784.463392, 74254.636866, 38869.995654};4042ecc6-b140-456b-8d67-107943dbf117;a868e5bf-7bc7-4231-907d-64fb39f2789d;5179.95*300;5179.96*300
Normal;{80020.11013, 74293.796284, 35070};{80020.11013, 74293.796284, 38869.995654};4042ecc6-b140-456b-8d67-107943dbf117;885f252f-44f7-4095-800e-65560a3cd5f7;5179.95*300;3800*300
Side;{82875.227293, 70081.255683, 38667.49};{82697.9193, 67625.698946, 38667.49};cf483559-8a1a-4ae8-9bfc-a30d4d28cca4;db495a27-7ee2-4393-bc78-000c73358495;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{82801.398348, 67608.064722, 38667.49};{81943.185018, 67068.602996, 38667.49};db495a27-7ee2-4393-bc78-000c73358495;30411544-1eed-45f4-be15-9ed9a28fc736;UPB265(265X1200);3729.99*300
HCS - Wall;{81926.252405, 67057.959377, 38534.99};{81468.109012, 66769.976405, 38534.99};db495a27-7ee2-4393-bc78-000c73358495;1d241c44-eec2-4ca5-87fe-d63a1ca2c465;UPB265(265X1200);3729.99*300
Full width support 1;{82872.344741, 70041.359611, 38667.49};{81675.46075, 70127.781326, 38667.49};db495a27-7ee2-4393-bc78-000c73358495;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Side;{81678.341235, 70167.677962, 38667.49};{81437.587577, 66833.475793, 38667.49};1db648d4-8f64-4062-b450-7c250f3a659b;db495a27-7ee2-4393-bc78-000c73358495;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{84042.930371, 68388.475587, 38667.49};{82728.433607, 67562.200036, 38667.49};cf483559-8a1a-4ae8-9bfc-a30d4d28cca4;30411544-1eed-45f4-be15-9ed9a28fc736;UPB265(265X1200);3729.99*300
Normal;{84051.396677, 68393.797396, 35070};{84051.396677, 68393.797396, 38799.99};2388c4f3-5ff5-40b9-96ed-fac95a9f7d7d;30411544-1eed-45f4-be15-9ed9a28fc736;3729.99*300;3729.99*300
Normal;{81934.718712, 67063.281187, 35070};{81934.718712, 67063.281187, 38534.99};1d241c44-eec2-4ca5-87fe-d63a1ca2c465;30411544-1eed-45f4-be15-9ed9a28fc736;3729.99*300;3729.99*300
Concrete beam 2;{77614.985124, 71102.744468, 38667.49};{77563.131524, 70384.614115, 38667.49};6caaf22a-0ef3-4575-9dd8-f4ba1a0da9fc;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Unclassified;{78045.507842, 70399.938121, 38609.990001};{77526.853518, 70437.323835, 38609.990001};1ff49bea-19a8-466d-bebe-6b040b387767;ce97060e-8da0-4f17-b985-cf457a1ed38e;480*720;480*520
Unclassified;{85878.894666, 70145.100147, 38359.99};{86763.614112, 70081.21775, 38359.99};1ff49bea-19a8-466d-bebe-6b040b387767;bb6120f4-1c00-4019-b000-85e5c63b4d12;480*720;BL800*800
Full width support 1;{84069.229128, 69954.936168, 38667.49};{82872.345245, 70041.359371, 38667.49};cf483559-8a1a-4ae8-9bfc-a30d4d28cca4;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Unclassified;{86055.518852, 69819.48911, 38369.99};{86055.518852, 69819.48911, 38799.99};1ff49bea-19a8-466d-bebe-6b040b387767;2388c4f3-5ff5-40b9-96ed-fac95a9f7d7d;480*720;3729.99*300
Unclassified;{78214.081989, 71069.592054, 38609.990001};{77575.738231, 71115.605599, 38609.990001};1ff49bea-19a8-466d-bebe-6b040b387767;54b45889-0328-4ca9-9072-1dd0feeb97f9;480*720;480*640
Full width support 1;{81675.460164, 70127.781314, 38667.49};{80478.576319, 70214.205037, 38667.49};1db648d4-8f64-4062-b450-7c250f3a659b;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Full width support 1;{80478.575815, 70214.205091, 38667.49};{79281.691814, 70300.626664, 38667.49};709ec1a7-5558-4795-8480-c2a3adf15a50;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Full width support 1;{79281.691268, 70300.627134, 38667.49};{78084.807364, 70387.050049, 38667.49};c5e06388-1e3a-45b6-9b1b-cdc64ae525d3;1ff49bea-19a8-466d-bebe-6b040b387767;UPB265(265X1200);480*720
Unclassified;{86022.251169, 70505.708127, 38609.99};{86790.252517, 70450.2651, 38609.99};1ff49bea-19a8-466d-bebe-6b040b387767;fe7c4b52-af7a-4032-ab17-0e13b49e68c3;480*720;480*770
Unclassified;{86711.830209, 69839.978029, 38369.99};{86711.830209, 69839.978029, 38799.99};1ff49bea-19a8-466d-bebe-6b040b387767;3d840f84-cd4d-4294-ad98-8534521631f3;480*720;3729.99*300
Unclassified;{106287.433742, 60049.549617, 51644.985998};{106727.702945, 60326.249869, 51644.985998};bae8d1f6-6f35-41bd-81b9-75ea4a8fb099;e0ca4d5e-eeb9-4c31-8650-70cc0509a180;650*400;600*520
Unclassified;{109129.590573, 60609.767482, 51129.989891};{109129.590573, 60609.767482, 51780.01989};a36ce7ea-8219-48cd-addb-f4a5ef23dbe1;bae8d1f6-6f35-41bd-81b9-75ea4a8fb099;BL700*700;650*400
Unclassified;{92719.830366, 59550.241317, 51409.951568};{92719.830378, 59550.241324, 52109.950002};59c5f5f8-b127-4a47-8423-7641a061abb4;cb5bd477-484d-4d1e-9880-28eb45c354c3;700*640;700*520
Unclassified;{98282.925752, 63046.521424, 51409.95143};{98282.925752, 63046.521424, 52109.94};5a1fe0f9-502c-4197-a1ff-d6a772222691;cb5bd477-484d-4d1e-9880-28eb45c354c3;5219*500;700*520
Side;{102906.461559, 62045.612479, 46067.5};{103353.723573, 59845.012588, 46067.5};622d2216-6d4e-4260-a8aa-ccf5f71cef14;efe041a6-0733-4419-96ed-b32606aded08;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{102862.712353, 62041.730694, 45934.995};{103986.489023, 62748.280177, 45934.995};622d2216-6d4e-4260-a8aa-ccf5f71cef14;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
Side;{103980.845766, 62666.604574, 46067.5};{103556.011758, 62580.258975, 46067.5};622d2216-6d4e-4260-a8aa-ccf5f71cef14;c0f7fe65-28fc-44c2-b126-3108cfdb49d1;UPB265(265X1200);UPB265(265X1200)
Ideal full overlap;{103641.463094, 62443.22269, 46067.5};{102858.012428, 62283.989871, 46067.5};343338d8-5ab3-4548-a0fc-925094791ae2;622d2216-6d4e-4260-a8aa-ccf5f71cef14;UPB265(265X1200);UPB265(265X1200)
Side;{103992.247656, 62728.276238, 46067.5};{104529.719501, 60083.829707, 46067.5};256cb5b9-837a-4868-9d6e-d6956fa49bbd;622d2216-6d4e-4260-a8aa-ccf5f71cef14;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{101776.926255, 61359.066934, 45934.995};{102900.702926, 62065.616418, 45934.995};efe041a6-0733-4419-96ed-b32606aded08;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
Side;{101820.675461, 61362.94872, 46067.5};{102177.727646, 59606.195469, 46067.5};1fe87f37-9a93-42c1-9ce9-94fab01d7041;efe041a6-0733-4419-96ed-b32606aded08;UPB265(265X1200);UPB265(265X1200)
Not ideal overlap;{102845.954591, 62111.416502, 46067.5};{102574.624956, 61940.884208, 46067.5};343338d8-5ab3-4548-a0fc-925094791ae2;efe041a6-0733-4419-96ed-b32606aded08;UPB265(265X1200);UPB265(265X1200)
Ideal full overlap;{102631.373795, 61775.951118, 46067.5};{101772.224934, 61601.332982, 46067.5};a4bb4a1e-6414-4580-bc90-e302d17e9af6;efe041a6-0733-4419-96ed-b32606aded08;UPB265(265X1200);UPB265(265X1200)
Normal;{105852.948745, 60311.711683, 38819.99};{105852.948745, 60311.711683, 43050.0};34a1cf49-9bd3-4f64-ba9a-2e22ddf0cc2b;96a483fa-10af-456a-bc20-ce5633857f67;7380*200;4230.01*200
Unclassified;{105836.406618, 60267.55377, 38809.99};{105963.772389, 59640.355269, 38809.99};3dd7092e-c949-4291-abde-8c47eb6b7aac;96a483fa-10af-456a-bc20-ce5633857f67;600*640;4230.01*200
Normal;{106350.726951, 57861.768087, 38819.99};{106350.726951, 57861.768087, 43050.0};96a483fa-10af-456a-bc20-ce5633857f67;e5ebbdcb-5a3a-40f9-b1a3-7d23ccf95ec1;4230.01*200;4230.01*200
Horizontal;{105857.419631, 60289.709763, 38809.99};{106347.231795, 57878.967977, 38809.99};38a220dc-9d2c-4512-a218-512813428f1b;96a483fa-10af-456a-bc20-ce5633857f67;3729.99*200;4230.01*200
Unclassified;{105852.959052, 60311.660072, 43100.23};{105852.959052, 60311.660072, 44300.230015};34a1cf49-9bd3-4f64-ba9a-2e22ddf0cc2b;6d0cb8a5-b098-4678-abe9-04e77191cde3;7380*200;BL1200*820
HCS - Wall;{100691.140158, 60676.403175, 45934.995};{101814.916828, 61382.952659, 45934.995};1fe87f37-9a93-42c1-9ce9-94fab01d7041;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
Side;{101677.483131, 61304.229785, 45935};{101677.483131, 61304.229785, 46200.0};1fe87f37-9a93-42c1-9ce9-94fab01d7041;a4bb4a1e-6414-4580-bc90-e302d17e9af6;UPB265(265X1200);UPB265(265X1200)
Side;{101621.284496, 61108.679546, 46067.5};{100686.43744, 60918.676093, 46067.5};1fe87f37-9a93-42c1-9ce9-94fab01d7041;46a2087d-90ca-410f-bd11-ec0f6d7b4433;UPB265(265X1200);UPB265(265X1200)
Side;{93908.995269, 60132.070479, 46067.5};{95212.116938, 58059.007238, 46067.5};694fb024-07e6-4893-be79-9e403cb7e910;6b41b901-ebfa-4978-8f3f-6d679ddcc281;UPB265(265X1200);UPB265(265X1200)
Side;{94595.045661, 60563.319872, 46067.500001};{96056.88486, 58237.762157, 46067.500001};694fb024-07e6-4893-be79-9e403cb7e910;8dfe2cba-053f-426e-9730-a90b95ffcc7d;UPB265(265X1200);UPB265(265X1200)
Full width support;{94599.408495, 60518.803189, 46067.500001};{93930.288539, 60098.19622, 46067.500001};694fb024-07e6-4893-be79-9e403cb7e910;13d74127-81b5-4e25-8361-d2fabb4da628;UPB265(265X1200);400*520
Full width support;{93930.274363, 60098.218758, 46067.5};{92914.322283, 59459.594165, 46067.5};6b41b901-ebfa-4978-8f3f-6d679ddcc281;13d74127-81b5-4e25-8361-d2fabb4da628;UPB265(265X1200);400*520
Horizontal;{96545.973467, 62250.217545, 42189.99};{98482.441261, 59169.604917, 42189.99};2a1983b7-9247-4fa0-8169-2e2e510a5721;ccf4b07f-8e2b-4554-8634-7c70c79fa171;4000*200;3645*200
Corner;{96532.618374, 62064.648444, 38819.99};{96532.618374, 62064.648444, 42181.8325};ccf4b07f-8e2b-4554-8634-7c70c79fa171;cd66ff9e-1ce9-4f0e-b96f-497a6c05c807;3645*200;7380*300
Corner;{96718.937609, 62181.761261, 38819.99};{96718.937609, 62181.761261, 42179.99};caafcc46-08c9-400d-a607-076a10a28f3f;ccf4b07f-8e2b-4554-8634-7c70c79fa171;7715.01*300;3645*200
Other;{98429.218299, 59254.274195, 38819.99};{98429.218299, 59254.274195, 42179.99};ccf4b07f-8e2b-4554-8634-7c70c79fa171;ff8804ab-313a-4041-92db-1487fa6f1c28;3645*200;3490*200
One Layer Wall Connections;{96545.973537, 62250.217433, 38667.491981};{96705.633438, 61996.223895, 38667.491981};96e52afc-95b9-4a84-923c-edb646194bdc;ccf4b07f-8e2b-4554-8634-7c70c79fa171;3729.99*300;3645*200
HCS - Wall;{96565.721463, 62002.77685, 38667.49};{98321.249209, 59209.847178, 38667.49};7b0c9e10-7723-4aff-8358-0a816520413a;ccf4b07f-8e2b-4554-8634-7c70c79fa171;UPB265(265X1200);3645*200
One Layer Wall Connections;{98429.21706, 59254.276166, 38534.99};{98429.21706, 59254.276166, 38799.99};ccf4b07f-8e2b-4554-8634-7c70c79fa171;ecf2574f-ebd3-4181-bdd1-0ddd58cefb1f;3645*200;3729.99*200
Corner;{96532.618374, 62064.648444, 42197.97};{96532.618374, 62064.648444, 46199.99};2a1983b7-9247-4fa0-8169-2e2e510a5721;cd66ff9e-1ce9-4f0e-b96f-497a6c05c807;4000*200;7380*300
Corner;{96718.937609, 62181.761261, 42199.99};{96718.937609, 62181.761261, 46199.99};2a1983b7-9247-4fa0-8169-2e2e510a5721;caafcc46-08c9-400d-a607-076a10a28f3f;4000*200;7715.01*300
Other;{98522.352144, 59312.826149, 42329.99};{98522.352144, 59312.826149, 45934.99};2a1983b7-9247-4fa0-8169-2e2e510a5721;477beb17-aa3f-49dd-a095-28bb2a5fa504;4000*200;3605*200
One Layer Wall Connections;{98375.995336, 59338.943473, 42254.99};{98482.441261, 59169.604917, 42254.99};2a1983b7-9247-4fa0-8169-2e2e510a5721;ff8804ab-313a-4041-92db-1487fa6f1c28;4000*200;3490*200
HCS - Wall;{96833.734531, 62017.735424, 46067.495};{98519.905487, 59334.916097, 46067.495};892c2091-9d64-4c10-a9d5-0a8d95c760af;2a1983b7-9247-4fa0-8169-2e2e510a5721;UPB265(265X1200);4000*200
HCS - Wall;{99531.235891, 60017.902738, 45934.995};{98515.24258, 59379.343743, 45934.995};892c2091-9d64-4c10-a9d5-0a8d95c760af;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
Side;{97971.44819, 62499.641716, 46067.5};{99552.471561, 59984.115277, 46067.5};4f7592f4-685c-4976-a094-352ba2871c3f;892c2091-9d64-4c10-a9d5-0a8d95c760af;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{94604.564509, 60722.838308, 46067.495};{95529.668803, 61304.32185, 46067.495};8dfe2cba-053f-426e-9730-a90b95ffcc7d;61da2f0e-84df-4d44-9393-e3f0648c5bfd;UPB265(265X1200);7380*300
HCS - Wall;{95552.684624, 61318.789252, 45935.0};{95552.684624, 61318.789252, 46199.99};8dfe2cba-053f-426e-9730-a90b95ffcc7d;cd66ff9e-1ce9-4f0e-b96f-497a6c05c807;UPB265(265X1200);7380*300
Support not full width of HCS;{94861.465373, 60783.904817, 46067.5};{94588.036591, 60612.038456, 46067.5};8dfe2cba-053f-426e-9730-a90b95ffcc7d;13d74127-81b5-4e25-8361-d2fabb4da628;UPB265(265X1200);400*520
Side;{102906.348732, 62045.530298, 38667.49};{103385.078572, 59688.123242, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;dc25d811-500d-4f86-a843-91b88446805e;UPB265(265X1200);UPB265(265X1200)
Side;{101836.646793, 61283.290279, 38667.49};{102209.082852, 59449.30518, 38667.49};d0381554-3ddd-460e-936a-754bfbd047b4;dc25d811-500d-4f86-a843-91b88446805e;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{103377.118357, 59727.321688, 38667.49};{102201.122046, 59488.506536, 38667.49};dc25d811-500d-4f86-a843-91b88446805e;59575b99-dfd7-40c4-8583-811e8e32883a;UPB265(265X1200);650*640
No connection;{101776.727234, 61358.941804, 38809.99};{102900.58665, 62065.543312, 38809.99};dc25d811-500d-4f86-a843-91b88446805e;ff8804ab-313a-4041-92db-1487fa6f1c28;UPB265(265X1200);3490*200
HCS - Wall;{102900.591672, 62065.535256, 38667.49};{101776.730018, 61358.925465, 38667.49};dc25d811-500d-4f86-a843-91b88446805e;b74f63de-232d-4fa4-9155-8bb852b55a6a;UPB265(265X1200);3729.99*200
Side;{103992.200825, 62728.242193, 38667.49};{104561.074883, 59926.938394, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;e6512596-504a-4b0d-8a41-c44ff9c1b7f6;UPB265(265X1200);UPB265(265X1200)
Beam at side of HCS 2;{104084.577733, 59870.991248, 38667.49};{103377.117884, 59727.324019, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;59575b99-dfd7-40c4-8583-811e8e32883a;UPB265(265X1200);650*640
No connection;{102862.580523, 62041.647808, 38809.99};{103986.441736, 62748.250446, 38809.99};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;ff8804ab-313a-4041-92db-1487fa6f1c28;UPB265(265X1200);3490*200
HCS - Wall;{103986.443765, 62748.247151, 38667.49};{103136.60002, 62213.921677, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;938d9535-0275-4057-9f6e-5e8d9e166f5a;UPB265(265X1200);3729.99*200
Beam at side of HCS 2;{104153.185352, 59884.92339, 38667.49};{104553.114775, 59966.137423, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;3dd7092e-c949-4291-abde-8c47eb6b7aac;UPB265(265X1200);600*640
HCS - Wall;{103119.668531, 62203.276278, 38667.49};{102862.58211, 62041.63736, 38667.49};970eb4c5-86e2-4d65-9a60-1bfe52f70ec8;b74f63de-232d-4fa4-9155-8bb852b55a6a;UPB265(265X1200);3729.99*200
Full width support 1;{105729.11117, 60204.951054, 38667.49};{104553.114859, 59966.135902, 38667.49};e6512596-504a-4b0d-8a41-c44ff9c1b7f6;3dd7092e-c949-4291-abde-8c47eb6b7aac;UPB265(265X1200);600*640
Unclassified;{105832.671651, 60285.947552, 38199.989998};{105832.671651, 60285.947552, 38799.99};2ee24634-3e53-4cad-a85f-4662671482aa;3dd7092e-c949-4291-abde-8c47eb6b7aac;3729.99*200;600*640
Unclassified;{105836.406756, 60267.553798, 38499.989999};{105963.772527, 59640.355297, 38499.989999};38a220dc-9d2c-4512-a218-512813428f1b;3dd7092e-c949-4291-abde-8c47eb6b7aac;3729.99*200;600*640
Normal;{105855.428454, 60299.509519, 35070};{105855.428454, 60299.509519, 38799.99};2ee24634-3e53-4cad-a85f-4662671482aa;38a220dc-9d2c-4512-a218-512813428f1b;3729.99*200;3729.99*200
Normal;{106349.222833, 57869.168193, 35070};{106349.222833, 57869.168193, 38799.99};38a220dc-9d2c-4512-a218-512813428f1b;5be6318e-d7dc-42b9-873c-f886b6d84b72;3729.99*200;3729.99*200
Side;{100750.769527, 60600.702345, 38667.49};{101033.087132, 59210.487117, 38667.49};290433cc-4075-485f-af2c-e7954cb0715b;d0381554-3ddd-460e-936a-754bfbd047b4;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{101025.126918, 59249.685563, 38667.49};{99849.130607, 59010.870411, 38667.49};290433cc-4075-485f-af2c-e7954cb0715b;59575b99-dfd7-40c4-8583-811e8e32883a;UPB265(265X1200);650*640
No connection;{99605.020656, 59993.529796, 38809.99};{100704.653265, 60684.89924, 38809.99};290433cc-4075-485f-af2c-e7954cb0715b;ff8804ab-313a-4041-92db-1487fa6f1c28;UPB265(265X1200);3490*200
